Class,Animal,SpeciesCount
Frogs,Brooding Frog,2
Frogs,Torrent frog,2
Reptiles,Forest Skink,1
Birds,Starling,1
Birds,White-throated Pigeon,1
Birds,Red-fronted Parakeet,2
Birds,Bristlebird,1
Birds,Emu,3
Birds,Gerygone,1
Birds,Pigeon,1
Birds,Buff-banded Rail,1
Birds,Long-tailed Triller,1
Birds,Kaka,1
Birds,Boobook Owl,1
Birds,White Gallinule,1
Birds,Paradise Parrot,1
Birds,Grey Fantail,1
Birds,Grey-headed Blackbird,1
Birds,Thrush,1
Birds,White-eye,2
Mammals,Bettong,5
Mammals,Rat-kangaroo,1
Mammals,Pig-footed Bandicoot,2
Mammals,Rabbit-rat,2
Mammals,Hare-wallaby,4
Mammals,Stick-nest Rat,1
Mammals,Yallara,1
Mammals,Melomys,1
Mammals,Toolache Wallaby,1
Mammals,Hopping-mouse,5
Mammals,Long-eared Bat,1
Mammals,Nailtail Wallaby,1
Mammals,Bandicoot,5
Mammals,Pipistrelle,1
Mammals,Potoroo,1
Mammals,Mouse,3
Mammals,Flying-fox,1
Mammals,Rat-kangaroo,2
Mammals,Tiger,1
Other,Earthworm,1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
