Group,Year,Status,Count
Mammals,2007,rare,26
Birds,2007,rare,32
Reptiles,2007,rare,64
Frogs,2007,rare,24
Fish,2007,rare,0
Butterflies,2007,rare,0
Crayfish,2007,rare,0
Snails,2007,rare,0
Mammals,2007,vulnerable,22
Birds,2007,vulnerable,26
Reptiles,2007,vulnerable,13
Frogs,2007,vulnerable,11
Fish,2007,vulnerable,2
Butterflies,2007,vulnerable,5
Crayfish,2007,vulnerable,0
Snails,2007,vulnerable,0
Mammals,2007,endangered,16
Birds,2007,endangered,14
Reptiles,2007,endangered,8
Frogs,2007,endangered,15
Fish,2007,endangered,4
Butterflies,2007,endangered,2
Crayfish,2007,endangered,0
Snails,2007,endangered,0
Mammals,2007,extinct in the wild,6
Birds,2007,extinct in the wild,1
Reptiles,2007,extinct in the wild,0
Frogs,2007,extinct in the wild,0
Fish,2007,extinct in the wild,0
Butterflies,2007,extinct in the wild,0
Crayfish,2007,extinct in the wild,0
Snails,2007,extinct in the wild,0
Mammals,2007,threatened,44
Birds,2007,threatened,41
Reptiles,2007,threatened,21
Frogs,2007,threatened,26
Fish,2007,threatened,6
Butterflies,2007,threatened,7
Crayfish,2007,threatened,0
Snails,2007,threatened,0
Mammals,2011,near threatened,24
Birds,2011,near threatened,30
Reptiles,2011,near threatened,47
Frogs,2011,near threatened,13
Fish,2011,near threatened,0
Butterflies,2011,near threatened,0
Crayfish,2011,near threatened,0
Snails,2011,near threatened,0
Mammals,2011,vulnerable,24
Birds,2011,vulnerable,33
Reptiles,2011,vulnerable,24
Frogs,2011,vulnerable,17
Fish,2011,vulnerable,2
Butterflies,2011,vulnerable,5
Crayfish,2011,vulnerable,0
Snails,2011,vulnerable,0
Mammals,2011,endangered,15
Birds,2011,endangered,16
Reptiles,2011,endangered,11
Frogs,2011,endangered,15
Fish,2011,endangered,4
Butterflies,2011,endangered,2
Crayfish,2011,endangered,0
Snails,2011,endangered,0
Mammals,2011,extinct in the wild,6
Birds,2011,extinct in the wild,1
Reptiles,2011,extinct in the wild,0
Frogs,2011,extinct in the wild,0
Fish,2011,extinct in the wild,0
Butterflies,2011,extinct in the wild,0
